Date,Module,Type,Reference,Description,Debit,Credit,Balance
15 Feb 2024,LOANS,REPAYMENT,SAL-L2-REP-016,Loan Repayment,,2000.00,
22 Feb 2024,LOANS,REPAYMENT,SAL-L2-REP-017,Loan Repayment,,2000.00,
29 Feb 2024,LOANS,REPAYMENT,SAL-L2-REP-018,Loan Repayment,,2000.00,
07 Mar 2024,LOANS,REPAYMENT,SAL-L2-REP-019,Loan Repayment,,2000.00,
03 Oct 2024,LOANS,REPAYMENT,SAL-L2-PAYOFF,Offset from Savings to clear loan,,197300.80,
10 Oct 2024,LOANS,DISBURSEMENT,MIG-SAL-L3-DISB,Loan 3 Disbursement,100000.00,,
10 Oct 2024,LOANS,REPAYMENT,SAL-L3-REP-001,Loan Repayment,,1400.00,
17 Oct 2024,LOANS,REPAYMENT,SAL-L3-REP-002,Loan Repayment,,1400.00,
24 Oct 2024,LOANS,REPAYMENT,SAL-L3-REP-003,Loan Repayment,,1400.00,
31 Oct 2024,LOANS,REPAYMENT,SAL-L3-REP-004,Loan Repayment,,1400.00,
07 Nov 2024,LOANS,REPAYMENT,SAL-L3-REP-005,Loan Repayment,,1400.00,
14 Nov 2024,LOANS,REPAYMENT,SAL-L3-REP-006,Loan Repayment,,1250.00,
21 Nov 2024,LOANS,REPAYMENT,SAL-L3-REP-007,Loan Repayment,,1400.00,
28 Nov 2024,LOANS,REPAYMENT,SAL-L3-REP-008,Loan Repayment,,1400.00,
05 Dec 2024,LOANS,REPAYMENT,SAL-L3-REP-009,Loan Repayment,,1400.00,
12 Dec 2024,LOANS,REPAYMENT,SAL-L3-REP-010,Loan Repayment,,1400.00,
19 Dec 2024,LOANS,REPAYMENT,SAL-L3-REP-011,Loan Repayment,,1000.00,
27 Dec 2024,LOANS,REPAYMENT,SAL-L3-REP-012,Loan Repayment,,1400.00,
02 Jan 2025,LOANS,REPAYMENT,SAL-L3-REP-013,Loan Repayment,,1400.00,
16 Jan 2025,LOANS,REPAYMENT,SAL-L3-REP-014,Loan Repayment,,1400.00,
23 Jan 2025,LOANS,REPAYMENT,SAL-L3-REP-015,Loan Repayment,,1400.00,
30 Jan 2025,LOANS,REPAYMENT,SAL-L3-REP-016,Loan Repayment,,1400.00,
06 Feb 2025,LOANS,REPAYMENT,SAL-L3-REP-017,Loan Repayment,,1000.00,
13 Feb 2025,LOANS,REPAYMENT,SAL-L3-REP-018,Loan Repayment,,1400.00,
27 Feb 2025,LOANS,REPAYMENT,SAL-L3-REP-019,Loan Repayment,,1400.00,
06 Mar 2025,LOANS,REPAYMENT,SAL-L3-REP-020,Loan Repayment,,1400.00,
03 Apr 2025,LOANS,REPAYMENT,SAL-L3-REP-021,Loan Repayment,,1000.00,
10 Apr 2025,LOANS,REPAYMENT,SAL-L3-REP-022,Loan Repayment,,1100.00,
17 Apr 2025,LOANS,REPAYMENT,SAL-L3-REP-023,Loan Repayment,,1000.00,
24 Apr 2025,LOANS,REPAYMENT,SAL-L3-REP-024,Loan Repayment,,1000.00,
08 May 2025,LOANS,REPAYMENT,SAL-L3-REP-025,Loan Repayment,,1000.00,
15 May 2025,LOANS,REPAYMENT,SAL-L3-REP-026,Loan Repayment,,1000.00,
12 Jun 2025,LOANS,REPAYMENT,SAL-L3-REP-027,Loan Repayment,,500.00,
03 Jul 2025,LOANS,REPAYMENT,SAL-L3-REP-028,Loan Repayment,,500.00,
10 Jul 2025,LOANS,REPAYMENT,SAL-L3-REP-029,Loan Repayment,,500.00
