"Title","Description","Priority","Status","Assignee","Created","Completed","Labels","Estimate"
"LOAN-01D-BE-02 Repayment allocation engine (interest->principal->credit)","Acceptance criteria:
- Allocate repayment only to loan interest due, then principal due (oldest due first)
- Remainder becomes prepayment credit (covers future weeks)
- Underpayment creates/maintains arrears for that due period
- Penalties are NOT auto-deducted from repayments","High","Backlog","","2026-03-03","","Backend, Loans",""
"LOAN-01D-BE-03 Arrears + prepayment reporting endpoints","Acceptance criteria:
- Member endpoints: view outstanding, arrears, credit, next due
- Staff endpoints: arrears list across members
- Countdown reduces weekly regardless of payment; arrears computed from schedule coverage","Medium","Backlog","","2026-03-03","","Backend, Loans, Reports",""
"PEN-01-BE-01 Penalty rules schema (admin configurable)","Goal: Support multiple penalty types with rule-driven amounts and interest accrual timing.

Acceptance criteria:
- DB: penalty_rules (code, trigger, base_amount_type/value, grace_period_days, interest_period_days, interest_rate, interest_mode)
- Admin API to CRUD rules
- Seed rule: LOAN_MISSED_INSTALLMENT","High","Backlog","","2026-03-03","","Backend, Penalties",""
"PEN-01-BE-02 Penalty instances + accrual ledger (audit + idempotent)","Acceptance criteria:
- DB: penalties (member_id, type, reference_type/id, status)
- DB: penalty_accruals (penalty_id, kind=PRINCIPAL|INTEREST, amount, accrued_at, idempotency_key)
- Each accrual links to GL journal via reference fields","High","Backlog","","2026-03-03","","Backend, Penalties, Accounting",""
"PEN-01-BE-03 Create loan missed-installment penalties from schedule job","Acceptance criteria:
- When schedule item becomes OVERDUE/UNDERPAID: create penalty principal accrual (rule-based)
- Post GL journal: Dr Penalty Receivable / Cr Penalty Income (reference to accrual id)
- Do not auto-deduct from loan repayments","High","Backlog","","2026-03-03","","Backend, Penalties, Loans, Accounting",""
"PEN-01-BE-04 Penalty interest accrual job (periodic, rule-driven)","Acceptance criteria:
- Job runs daily to add interest accrual when grace+period elapses
- Supports SIMPLE/COMPOUND modes per rule
- Posts GL journal: Dr Penalty Interest Receivable / Cr Penalty Interest Income","High","Backlog","","2026-03-03","","Backend, Penalties, Accounting",""
"PEN-01-BE-05 Penalty payment (STK) ONE/ALL + allocation + GL posting","Acceptance criteria:
- Endpoint: list member OPEN penalties (for dropdown)
- Initiate STK for ONE penalty or ALL penalties
- Allocation for ALL: oldest first; interest then principal per penalty; supports partial payments
- Post GL journal reducing receivables; mark penalties PAID when cleared","High","Backlog","","2026-03-03","","Backend, Penalties, Payments, Accounting",""
"PEN-01-BE-06 Treasurer waiver/adjustment creates GL reversing journal","Acceptance criteria:
- Permission: PENALTIES_WAIVE_ADJUST
- Endpoint to waive/adjust a penalty (full/partial)
- Must create reversing GL journal entry (no direct edit of financial truth)
- Audit log who waived and why","High","Backlog","","2026-03-03","","Backend, Penalties, Accounting",""
"LOAN-01-FE-01 Loan application UI (fee, guarantors, status tracking)","Acceptance criteria:
- Member can create application, pay application fee (STK), add guarantors
- Shows application status through approval stages","Medium","Backlog","","2026-03-03","","Frontend, Loans",""
"LOAN-01-FE-02 Staff approvals UI (Loan Officer + Committee)","Acceptance criteria:
- Loan officer verify/approve/reject UI (permission-gated)
- Committee approval UI (permission-gated)","Medium","Backlog","","2026-03-03","","Frontend, Loans",""
"LOAN-01-FE-03 Treasurer disbursement UI","Acceptance criteria:
- Treasurer sees approved loans and can disburse (permission-gated)
- Shows grace period and repayment start date","Medium","Backlog","","2026-03-03","","Frontend, Loans",""
"LOAN-01-FE-04 Member loan dashboard (schedule, arrears, credit, repay)","Acceptance criteria:
- Shows next due, running schedule, arrears, prepayment credit
- Member can initiate repayment (STK) and see status","Medium","Backlog","","2026-03-03","","Frontend, Loans",""
"PEN-01-FE-01 Penalties tab (dynamic dropdown + pay ONE/ALL)","Acceptance criteria:
- Dropdown lists only OPEN penalties; if none, hide/disable dropdown
- 'All' option present
- Initiate STK payment; show success/failure and refresh lists","Medium","Backlog","","2026-03-03","","Frontend, Penalties",""
